outcome,unit,estimate,std.error,z,p.value,p_adj_BH,sig_01,sig_01_adj,outcome_vars_labels,outcome_vars_labels2,outcome_vars_labels_regtable,outcome_vars_cat
vig_ban,phl,0.049364892057718934,0.00860127006335341,5.739256144048203,9.509330137424902e-9,1.397289326315496e-8,TRUE,TRUE,Ban sender,Ban sender,Ban<br>sender,Actions
vig_ban,pol,0.059274250689410064,0.005551721099293109,10.676734228770488,1.307921479993711e-26,5.231685919974844e-26,TRUE,TRUE,Ban sender,Ban sender,Ban<br>sender,Actions
vig_ban,tur,0.10080471614882977,0.009644988756522775,10.451512043563234,1.4420753501039872e-25,4.719519327613049e-25,TRUE,TRUE,Ban sender,Ban sender,Ban<br>sender,Actions
vig_ban,gbr,0.04675065261849756,0.004618105799703932,10.123339448285217,4.3530467164657545e-24,1.1608124577242012e-23,TRUE,TRUE,Ban sender,Ban sender,Ban<br>sender,Actions
vig_ban,usa,0.02059939353947979,0.0027311171414835895,7.542478946285639,4.611205822692998e-14,8.097727298387704e-14,TRUE,TRUE,Ban sender,Ban sender,Ban<br>sender,Actions
vig_legal,pooled,0.038704917870536745,0.0017676136685336155,21.89670659349774,2.792500838331558e-106,3.35100100599787e-105,TRUE,TRUE,Legal action,Legal action,Legal<br>sanction,Actions
vig_legal,bra,0.05954967854151437,0.005586844068025265,10.658911868031229,1.5844027597277757e-26,6.004052563178939e-26,TRUE,TRUE,Legal action,Legal action,Legal<br>sanction,Actions
vig_legal,col,0.030272652591469103,0.00788404758982417,3.839734888275103,1.231672405843773e-4,1.5030578511991807e-4,TRUE,TRUE,Legal action,Legal action,Legal<br>sanction,Actions
vig_legal,ger,0.03478074002657287,0.005070765055740578,6.859071490050173,6.930954983552255e-12,1.1089527973683609e-11,TRUE,TRUE,Legal action,Legal action,Legal<br>sanction,Actions
vig_legal,ind,0.060029134514613454,0.005926568218828529,10.128818617813712,4.1159203621715564e-24,1.1397933310628926e-23,TRUE,TRUE,Legal action,Legal action,Legal<br>sanction,Actions
vig_legal,idn,0.033455164004985605,0.012062467348221287,2.773492606379478,0.005545810057774713,0.00654587416655376,TRUE,TRUE,Legal action,Legal action,Legal<br>sanction,Actions
vig_legal,nig,0.006903132206957906,0.013480576229911709,0.5120799058752934,0.6085950871353956,0.6171668489260349,FALSE,FALSE,Legal action,Legal action,Legal<br>sanction,Actions
vig_legal,phl,0.04480978670239239,0.008104759485636463,5.5288237463191665,3.223850379294069e-8,4.551318182532803e-8,TRUE,TRUE,Legal action,Legal action,Legal<br>sanction,Actions
vig_legal,pol,0.03403161038377363,0.0045159712317723675,7.535834184315067,4.8522284182281184e-14,8.318105859819631e-14,TRUE,TRUE,Legal action,Legal action,Legal<br>sanction,Actions
vig_legal,tur,0.08708737724412323,0.009460590372427975,9.205279355285418,3.4078363563487457e-20,6.815672712697491e-20,TRUE,TRUE,Legal action,Legal action,Legal<br>sanction,Actions
vig_legal,gbr,0.024618995315007337,0.0034462418377378735,7.143722487905069,9.083670236864044e-13,1.520986644312119e-12,TRUE,TRUE,Legal action,Legal action,Legal<br>sanction,Actions
vig_legal,usa,0.009155074298449915,0.0019933034261966484,4.592915548195483,4.370959803512899e-6,5.721983742780522e-6,TRUE,TRUE,Legal action,Legal action,Legal<br>sanction,Actions
vig_job,pooled,0.039144628157456236,0.0015783484372855136,24.801005426139128,8.743781866758931e-136,1.5738807360166076e-134,TRUE,TRUE,Job loss,Job loss,Job<br>loss,Actions
vig_job,bra,0.05290970847950056,0.004683193176047189,11.297784757228094,1.3456978924764712e-29,6.920732018450423e-29,TRUE,TRUE,Job loss,Job loss,Job<br>loss,Actions
vig_job,col,0.030657675283753186,0.006884890796861564,4.4528920193953265,8.472136661007188e-6,1.0701646308640658e-5,TRUE,TRUE,Job loss,Job loss,Job<br>loss,Actions
vig_job,ger,0.01919714035923098,0.0032199698335523353,5.96190068589938,2.493206731432493e-9,3.73981009714874e-9,TRUE,TRUE,Job loss,Job loss,Job<br>loss,Actions
vig_job,ind,0.059546679391424946,0.0055053345103057375,10.81617825037811,2.8856056876126196e-27,1.2221388794594624e-26,TRUE,TRUE,Job loss,Job loss,Job<br>loss,Actions
vig_job,idn,0.02406006478795559,0.011276327639051937,2.133679115941194,0.03286905673767112,0.035857152804732124,FALSE,FALSE,Job loss,Job loss,Job<br>loss,Actions
vig_job,nig,0.017756790441554964,0.012457505657787752,1.4253889124629366,0.15404481128884853,0.16310627077642786,FALSE,FALSE,Job loss,Job loss,Job<br>loss,Actions
vig_job,phl,0.04066027404639614,0.007920501536359799,5.133547902205608,2.843306205253095e-7,3.8626046561928835e-7,TRUE,TRUE,Job loss,Job loss,Job<br>loss,Actions
vig_job,pol,0.03689171391613841,0.003912209904031546,9.429891243340847,4.105143942922093e-21,8.956677693648203e-21,TRUE,TRUE,Job loss,Job loss,Job<br>loss,Actions
vig_job,tur,0.07581563295186303,0.00812955514581689,9.325926399659691,1.1001823198163238e-20,2.3297978537286858e-20,TRUE,TRUE,Job loss,Job loss,Job<br>loss,Actions
vig_job,gbr,0.03968196367562088,0.0038861718109137284,10.211067756752303,1.7690721700272613e-24,5.3072165100817836e-24,TRUE,TRUE,Job loss,Job loss,Job<br>loss,Actions
vig_job,usa,0.024760463892476367,0.002456265197008886,10.080533617717007,6.735930270146209e-24,1.732096355180454e-23,TRUE,TRUE,Job loss,Job loss,Job<br>loss,Actions
